City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Laguna,US,70.65,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
453,Beira,MZ,82.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
455,Trelew,AR,80.28,broken clouds,-43.249,-65.3051,Hotel Touring Club
457,Miguel Auza,MX,71.02,clear sky,24.2933,-103.4503,Hotel Del Centro
458,Angoche,MZ,76.6,clear sky,-16.2325,39.9086,Guest House HESADA
460,Araceli,PH,82.29,few clouds,10.5529,119.9913,JBryan Traveler's Inn
464,Dourados,BR,77.59,scattered clouds,-22.2211,-54.8056,Alphonsus Hotel
466,Tshikapa,CD,70.27,moderate rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
467,Auki,SB,83.35,overcast clouds,-8.7676,160.7034,Auki Motel
468,Aden,YE,80.44,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
469,Harper,LR,79.52,light rain,4.375,-7.7169,Screensaver
472,Port Shepstone,ZA,65.25,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
476,Bama,NG,76.86,clear sky,11.5221,13.6856,UN Humanitarian Hub
479,Impfondo,CG,71.01,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
482,Lazaro Cardenas,MX,83.62,clear sky,17.9583,-102.2,quinta antigua
483,Panalingaan,PH,78.73,few clouds,8.7842,117.4231,I Love Panalingaan View Deck
492,Bouloupari,NC,76.91,overcast clouds,-21.8667,166.05,Oua-Ya Lodge
493,Saint-Joseph,RE,73.76,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
494,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
496,Aswan,EG,67.3,clear sky,24.0934,32.907,Nuba Nile
497,Benguela,AO,76.08,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
498,Mecca,SA,74.23,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
499,Kiunga,PG,75.6,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
501,Gizo,SB,82.92,clear sky,-8.103,156.8419,Imagination Island
504,Numan,NG,81.77,scattered clouds,9.4667,12.0333,Zangun Motel
507,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
511,Olutanga,PH,82.65,light rain,7.3106,122.8464,Morales Lodge
514,Vaitape,PF,80.64,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
515,Sassandra,CI,78.91,light rain,4.95,-6.0833,la terrasse
516,Sao Jose Da Coroa Grande,BR,78.76,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
517,Kingston,JM,83.35,light rain,17.997,-76.7936,The Jamaica Pegasus Hotel
