City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Padang,ID,2021-11-20 17:55:00,-0.9492,100.3543,78.6,85,71,3.0
145,Muisne,EC,2021-11-20 17:59:50,0.6,-80.0333,82.51,75,85,8.93
146,Guerrero Negro,MX,2021-11-20 17:55:46,27.9769,-114.0611,68.63,65,98,7.61
147,Svetlogorsk,BY,2021-11-20 17:59:50,52.6333,29.7333,39.63,76,55,14.65
148,Cabedelo,BR,2021-11-20 17:59:50,-6.9811,-34.8339,88.47,70,89,11.39
149,Sarangani,PH,2021-11-20 17:59:51,5.4033,125.4636,83.95,72,95,4.21
150,Abha,SA,2021-11-20 17:55:30,18.2164,42.5053,58.82,82,0,6.91
151,Chapais,CA,2021-11-20 17:59:52,49.7834,-74.8492,28.18,71,100,10.0
152,Tuktoyaktuk,CA,2021-11-20 17:59:52,69.4541,-133.0374,-5.8,77,40,5.75
153,Arraial Do Cabo,BR,2021-11-20 17:59:25,-22.9661,-42.0278,75.16,78,40,12.66
154,Saldanha,ZA,2021-11-20 17:59:52,-33.0117,17.9442,64.08,81,100,15.82
155,Ahuimanu,US,2021-11-20 17:59:53,21.4447,-157.8378,78.78,75,75,7.36
156,Sitka,US,2021-11-20 17:59:53,57.0531,-135.33,31.32,81,100,9.19
157,Fort Nelson,CA,2021-11-20 17:59:54,58.8053,-122.7002,-17.01,76,20,0.0
158,Khatanga,RU,2021-11-20 17:59:54,71.9667,102.5,-22.99,99,98,6.17
159,Tatawin,TN,2021-11-20 17:59:54,32.9297,10.4518,67.08,79,95,7.83
160,Gorin,RU,2021-11-20 17:59:55,51.1983,136.6669,-1.86,99,53,1.63
161,Katsuura,JP,2021-11-20 17:56:47,35.1333,140.3,55.51,75,12,6.44
162,Sawakin,SD,2021-11-20 17:59:55,19.1059,37.3321,80.85,67,15,4.23
163,Sola,VU,2021-11-20 17:59:56,-13.8833,167.55,80.91,73,100,13.38
164,Verkhnyaya Toyma,RU,2021-11-20 17:59:56,62.2349,44.9985,27.05,98,98,3.02
165,Leningradskiy,RU,2021-11-20 17:59:56,69.3833,178.4167,-7.85,85,2,3.42
166,Dudinka,RU,2021-11-20 17:59:57,69.4058,86.1778,-13.38,92,57,11.59
167,Turukhansk,RU,2021-11-20 17:59:57,65.8167,87.9833,-11.96,84,15,15.7
168,Mumford,GH,2021-11-20 17:59:57,5.2618,-0.759,81.77,80,23,8.86
169,Umm Kaddadah,SD,2021-11-20 17:59:58,13.6017,26.6876,74.21,21,0,13.35
170,Mahebourg,MU,2021-11-20 17:59:58,-20.4081,57.7,77.25,73,40,9.22
171,San Quintin,MX,2021-11-20 17:59:58,30.4833,-115.95,64.36,74,98,7.87
172,Pundaguitan,PH,2021-11-20 17:59:59,6.3711,126.1689,81.68,76,90,1.48
173,Ribeira Grande,PT,2021-11-20 17:59:59,38.5167,-28.7,63.0,94,75,16.11
174,Dingle,PH,2021-11-20 17:59:14,10.9995,122.6711,76.03,91,73,4.36
175,Jalu,LY,2021-11-20 17:59:18,29.0331,21.5482,69.24,44,24,14.47
176,Tabory,RU,2021-11-20 18:00:00,58.5198,64.5495,24.57,93,100,10.74
177,Kaitangata,NZ,2021-11-20 18:00:00,-46.2817,169.8464,51.15,97,97,0.98
178,Vila Velha,BR,2021-11-20 17:59:07,-20.3297,-40.2925,73.35,96,75,11.01
179,Tambovka,RU,2021-11-20 18:00:01,50.0969,128.0489,-1.52,99,96,2.39
